index,category,description
747,ham email,Weekly report submission
748,ham email,Reminder to submit your timesheet
749,spam email,You have been selected for a prize reward
750,ham email,Project update: tasks completed
751,ham email,Let's catch up this weekend
752,spam email,Get rich quick with this simple trick
753,spam email,You have been selected for a prize reward
754,spam email,Claim your free gift card today
755,ham email,Can we reschedule our call?
756,ham email,Lunch plan for today?
757,ham email,Weekly report submission
758,ham email,Can we reschedule our call?
759,spam email,"Congratulations, you won a lottery"
760,ham email,Project update: tasks completed
761,ham email,Project update: tasks completed
762,spam email,Act now to secure your reward
763,spam email,Urgent: update your bank details immediately
764,ham email,Weekly report submission
765,spam email,Get rich quick with this simple trick
766,spam email,Claim your free gift card today
767,spam email,Claim your free gift card today
768,ham email,Meeting scheduled for tomorrow at 10 AM
769,ham email,Let's catch up this weekend
770,ham email,Can we reschedule our call?
771,ham email,Meeting scheduled for tomorrow at 10 AM
772,spam email,"Congratulations, you won a lottery"
773,spam email,"Exclusive deal just for you, click now"
774,spam email,You have been selected for a prize reward
775,ham email,Project update: tasks completed
776,spam email,You have been selected for a prize reward
777,spam email,Get rich quick with this simple trick
778,ham email,Project update: tasks completed
779,spam email,"Your account has been compromised, verify now"
780,ham email,Please find attached the project report
781,spam email,"Congratulations, you won a lottery"
782,ham email,Let's catch up this weekend
783,ham email,Project update: tasks completed
784,spam email,"Limited offer, earn money fast from home"
785,spam email,Act now to secure your reward
786,spam email,"Your account has been compromised, verify now"
787,spam email,"Your account has been compromised, verify now"
788,spam email,Urgent: update your bank details immediately
789,ham email,Let's catch up this weekend
790,ham email,Let's catch up this weekend
791,spam email,Claim your free gift card today
792,ham email,Lunch plan for today?
793,spam email,"Limited offer, earn money fast from home"
794,ham email,Please find attached the project report
795,ham email,Meeting scheduled for tomorrow at 10 AM
796,ham email,Project update: tasks completed
797,ham email,Invitation to team meeting
798,spam email,Claim your free gift card today
799,spam email,"Congratulations, you won a lottery"
800,spam email,Claim your free gift card today
801,spam email,You have been selected for a prize reward
802,ham email,Meeting scheduled for tomorrow at 10 AM
803,ham email,Invitation to team meeting
804,spam email,"Your account has been compromised, verify now"
805,ham email,Meeting scheduled for tomorrow at 10 AM
806,ham email,Invitation to team meeting
807,spam email,"Win a free iPhone now, click here"
808,spam email,Get rich quick with this simple trick
809,ham email,Can we reschedule our call?
810,ham email,Weekly report submission
811,ham email,"Happy birthday, have a great day"
812,spam email,Get rich quick with this simple trick
813,spam email,"Exclusive deal just for you, click now"
814,ham email,Reminder to submit your timesheet
815,ham email,Lunch plan for today?
816,ham email,Project update: tasks completed
817,spam email,"Congratulations, you won a lottery"
818,ham email,Let's catch up this weekend
819,spam email,"Win a free iPhone now, click here"
820,ham email,Reminder to submit your timesheet
821,ham email,Meeting scheduled for tomorrow at 10 AM
822,spam email,"Congratulations, you won a lottery"
823,ham email,Let's catch up this weekend
824,ham email,Meeting scheduled for tomorrow at 10 AM
825,spam email,"Exclusive deal just for you, click now"
826,spam email,"Win a free iPhone now, click here"
827,ham email,Can we reschedule our call?
828,ham email,Let's catch up this weekend
829,ham email,"Happy birthday, have a great day"
830,ham email,Can we reschedule our call?
831,spam email,"Exclusive deal just for you, click now"
832,spam email,"Exclusive deal just for you, click now"
833,spam email,Act now to secure your reward
834,ham email,"Happy birthday, have a great day"
835,ham email,Let's catch up this weekend
836,spam email,Claim your free gift card today
837,ham email,Invitation to team meeting
838,ham email,Reminder to submit your timesheet
839,ham email,"Happy birthday, have a great day"
840,ham email,Lunch plan for today?
841,ham email,Can we reschedule our call?
842,spam email,"Congratulations, you won a lottery"
843,spam email,Get rich quick with this simple trick
844,ham email,Please find attached the project report
845,ham email,Weekly report submission
846,spam email,Get rich quick with this simple trick
847,ham email,Lunch plan for today?
848,ham email,Reminder to submit your timesheet
849,ham email,Can we reschedule our call?
850,ham email,"Happy birthday, have a great day"
851,ham email,Let's catch up this weekend
852,spam email,"Win a free iPhone now, click here"
853,ham email,Project update: tasks completed
854,ham email,"Happy birthday, have a great day"
855,ham email,Weekly report submission
856,ham email,Weekly report submission
857,ham email,Weekly report submission
858,spam email,"Congratulations, you won a lottery"
859,spam email,"Limited offer, earn money fast from home"
860,ham email,"Happy birthday, have a great day"
861,spam email,"Your account has been compromised, verify now"
862,spam email,Claim your free gift card today
863,ham email,"Happy birthday, have a great day"
864,spam email,"Limited offer, earn money fast from home"
865,ham email,Invitation to team meeting
866,ham email,Invitation to team meeting
867,ham email,Reminder to submit your timesheet
868,spam email,You have been selected for a prize reward
869,ham email,Reminder to submit your timesheet
870,ham email,Reminder to submit your timesheet
871,spam email,"Limited offer, earn money fast from home"
872,ham email,Lunch plan for today?
873,spam email,You have been selected for a prize reward
874,spam email,Urgent: update your bank details immediately
875,ham email,Please find attached the project report
876,spam email,"Win a free iPhone now, click here"
877,ham email,Reminder to submit your timesheet
878,spam email,Act now to secure your reward
879,ham email,Meeting scheduled for tomorrow at 10 AM
880,ham email,Invitation to team meeting
881,ham email,"Happy birthday, have a great day"
882,spam email,Get rich quick with this simple trick
883,ham email,Can we reschedule our call?
884,ham email,Lunch plan for today?
885,ham email,Project update: tasks completed
886,ham email,Reminder to submit your timesheet
887,ham email,Reminder to submit your timesheet
888,spam email,"Limited offer, earn money fast from home"
889,ham email,Weekly report submission
890,ham email,Let's catch up this weekend
891,ham email,Reminder to submit your timesheet
892,ham email,Weekly report submission
893,ham email,Let's catch up this weekend
894,ham email,Lunch plan for today?
895,spam email,"Your account has been compromised, verify now"
896,spam email,"Congratulations, you won a lottery"
897,spam email,Act now to secure your reward
898,spam email,"Win a free iPhone now, click here"
899,ham email,Meeting scheduled for tomorrow at 10 AM
900,spam email,Urgent: update your bank details immediately
901,spam email,"Exclusive deal just for you, click now"
902,ham email,Reminder to submit your timesheet
903,spam email,"Your account has been compromised, verify now"
904,ham email,Meeting scheduled for tomorrow at 10 AM
905,ham email,Weekly report submission
906,ham email,Reminder to submit your timesheet
907,ham email,Weekly report submission
908,ham email,Invitation to team meeting
909,spam email,"Win a free iPhone now, click here"
910,ham email,"Happy birthday, have a great day"
911,ham email,Lunch plan for today?
912,spam email,Claim your free gift card today
913,ham email,Lunch plan for today?
